hjd,mag,mag_unc
2168.71202,10.85,0.029
2169.72135,10.831,0.042
2170.75364,10.918,0.039
2171.71583,10.911,0.028
2173.6988,10.925,0.03
2174.68967,11.043,0.028
2175.68224,10.848,0.034
2177.68248,11.183,0.028
2178.6771,10.849,0.026
2180.6259,11.245,0.03
2186.71269,10.817,0.029
2192.66332,10.888,0.026
2193.6598,10.827,0.027
2194.65556,10.919,0.028
2195.65763,10.914,0.029
2196.65217,10.839,0.026
2197.65181,10.869,0.025
2199.64917,10.911,0.025
2201.63571,10.888,0.026
2203.63727,10.821,0.027
2204.62615,10.836,0.027
2206.62956,10.866,0.027
2207.61932,10.775,0.039
2208.65188,10.897,0.027
2213.63926,10.957,0.03
2244.59048,11.279,0.047
2248.53385,10.914,0.038
2250.58127,10.892,0.034
2252.56132,10.869,0.037
2254.58231,10.892,0.038
2439.89368,10.833,0.021
2444.85548,10.937,0.026
2446.86665,10.863,0.024
2465.88177,11.092,0.027
2467.86964,10.838,0.02
2468.92257,10.826,0.03
2470.84123,10.887,0.027
2473.81585,10.859,0.038
2482.76122,11.192,0.032
2490.81269,11.293,0.037
2491.81679,10.895,0.032
2496.79128,10.919,0.024
2498.79018,10.877,0.024
2499.78659,10.861,0.023
2502.78755,10.828,0.029
2503.77876,10.854,0.039
2508.74348,10.83,0.027
2519.77114,10.86,0.022
2523.74727,10.831,0.022
2526.72673,10.854,0.023
2544.72844,10.855,0.024
2545.77391,10.836,0.021
2552.81389,10.855,0.022
2554.63214,10.881,0.046
2556.6992,10.922,0.026
2558.74223,10.864,0.029
2559.69289,10.843,0.021
2560.6847,11.24,0.023
2561.67071,10.856,0.045
2562.66715,10.836,0.023
2563.67898,10.975,0.024
2623.54458,10.965,0.028
2625.61045,10.852,0.025
2635.62077,11.198,0.022
2637.63126,10.846,0.023
2639.62892,10.902,0.024
2642.53986,10.882,0.023
2644.54712,10.867,0.023
2650.54119,10.833,0.023
2652.56888,11.2,0.025
2654.57901,10.828,0.026
2658.55518,10.878,0.026
2662.55922,10.846,0.025
2664.55519,10.868,0.027
2666.55248,11.129,0.024
2671.54057,10.859,0.025
2677.5206,11.211,0.032
2787.91234,10.861,0.025
2809.89785,11.075,0.026
2814.88973,10.879,0.03
2820.88193,11.242,0.025
2830.8199,10.974,0.041
2832.8555,10.84,0.022
